scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060
Highcost_DAC,NX,Industry,15.66091891,16.38442267,17.15635615,16.70328263,13.22221112,11.25424892,9.708018637,7.270778224,6.458809908
Highcost_DAC,NX,Residential,0.480980993,0.644062394,0.796045321,0.897420187,0.904142781,0.901334516,0.920464691,0.806272291,0.838337959
Highcost_DAC,NX,Transportation,1.598679058,1.708855953,1.747432886,1.718115254,1.630882426,1.54104385,1.471334386,1.30689725,1.289613674
Highcost_DAC,QH,Agricultural,0.063214691,0.060278211,0.058268786,0.053483495,0.043871095,0.035597689,0.027213367,0.016739707,0.012738767
Highcost_DAC,QH,Electricity generation,3.92584421,4.554480077,5.079572,5.422759177,4.50204362,1.790572313,0.714674122,0.419850137,0.426936473
Highcost_DAC,QH,Industry,7.391503521,7.982898956,8.462086773,8.237088019,6.599458527,5.478523181,4.596761606,3.320283595,2.700864765
Highcost_DAC,QH,Residential,1.085832598,1.38695096,1.688529159,1.879118034,1.757601609,1.654300442,1.601931451,1.315598788,1.33207046
Highcost_DAC,QH,Transportation,1.177651989,1.249387565,1.273921247,1.256142816,1.196038115,1.130425239,1.080855625,0.959753427,0.946660189
Highcost_DAC,SC,Agricultural,0.531934319,0.510107187,0.493353797,0.455343753,0.383202419,0.324413255,0.265772849,0.186998531,0.152962334
Highcost_DAC,SC,Electricity generation,13.99685069,15.93856106,16.61382148,16.83210894,14.7670093,10.56233092,5.28061574,1.541167322,1.562284086
Highcost_DAC,SC,Industry,62.4249792,63.53585852,64.90620552,61.6921695,47.0346337,38.31317847,32.12791991,23.79441929,18.32417543
Highcost_DAC,SC,Residential,7.836855613,9.191473698,10.08853823,10.62863698,10.43846978,9.815501238,9.371711697,8.149975381,7.861136691
Highcost_DAC,SC,Transportation,8.745373083,9.569210427,10.11586527,10.35117447,10.01009851,9.321744784,8.780661371,7.029544512,6.644371215
Highcost_DAC,SD,Agricultural,1.519741448,1.453414442,1.410706298,1.307473723,1.088215491,0.903374266,0.715012845,0.468218034,0.37026474
Highcost_DAC,SD,Electricity generation,127.3130664,131.3614548,133.2512419,130.0174628,104.2506654,43.35631811,12.0265743,4.966129925,5.154678668
Highcost_DAC,SD,Industry,122.6436952,121.4135546,121.8212676,111.53827,80.05756806,64.78754368,53.34173488,36.00285931,26.84833564
Highcost_DAC,SD,Residential,8.601255898,10.43454958,11.79492949,12.54975217,12.34736593,11.77611186,11.35969934,9.296637674,9.111218222
Highcost_DAC,SD,Transportation,18.72685909,19.76575221,20.1974395,20.17805688,18.98768287,17.60663842,16.13259062,11.8285328,11.27747546
Highcost_DAC,SH,Agricultural,0.009324833,0.008934285,0.008630418,0.007941246,0.006690437,0.005674502,0.004648823,0.003250403,0.002649531
Highcost_DAC,SH,Electricity generation,25.22365528,27.27736542,27.04542673,27.21439533,23.32038945,13.16704274,4.637841328,0.723353376,0.654677344
Highcost_DAC,SH,Industry,24.87608342,26.57449939,27.51525527,27.00336596,22.6893276,18.62634196,15.67977775,11.73354256,9.735664765
Highcost_DAC,SH,Residential,4.175227786,5.735794169,6.741041831,7.330161034,7.478812661,7.158188862,6.999079529,6.239516229,6.027724695
Highcost_DAC,SH,Transportation,24.18027582,26.63377503,28.06110007,28.78613082,27.03533037,24.53368883,21.86980455,13.24638182,11.81000856
Highcost_DAC,SN,Agricultural,0.15885598,0.150375892,0.144340303,0.130378749,0.104299602,0.081494413,0.058554675,0.03177905,0.022254169
Highcost_DAC,SN,Electricity generation,36.89411845,40.81207695,43.08284813,43.49559216,34.16971761,11.03351546,3.277006092,1.842961272,1.84221531
Highcost_DAC,SN,Industry,37.84177228,38.55906255,39.1009734,36.75386348,27.41871058,21.56050559,17.8250415,12.31098781,10.15259356
Highcost_DAC,SN,Residential,4.927997569,5.719616994,6.355024165,6.612497877,6.179146379,5.730245985,5.421007053,4.394194959,4.25210765
Highcost_DAC,SN,Transportation,6.761942151,7.057057778,7.174939005,7.159459318,6.78148492,6.284077191,5.857050374,4.812846154,4.614852684
Highcost_DAC,SX,Agricultural,0.232859848,0.220312999,0.211788437,0.192003197,0.153315765,0.119228707,0.084603237,0.044266067,0.029996992
Highcost_DAC,SX,Electricity generation,66.64966616,69.30124818,71.12552558,70.20226198,54.17919429,19.79713012,5.909630021,3.290927768,3.454729861
Highcost_DAC,SX,Industry,71.25825733,69.43347749,67.97287114,61.11152543,42.12027961,33.65386306,28.72211818,21.26483545,17.21539598
Highcost_DAC,SX,Residential,7.118500366,8.154234106,9.586017299,10.21217408,8.469504628,7.758803642,7.398711916,5.559263059,5.695221932
Highcost_DAC,SX,Transportation,7.263748725,7.656724762,7.850005271,7.877026913,7.531947375,7.094803351,6.738233029,5.798537765,5.655524102
Highcost_DAC,TJ,Agricultural,0.051055903,0.048838458,0.047109434,0.043067384,0.035923069,0.030041142,0.024143493,0.016394507,0.013152415
Highcost_DAC,TJ,Electricity generation,16.88103445,17.21166232,17.29816537,16.74865173,14.08951235,7.870678248,2.865947432,0.70493769,0.702227916
Highcost_DAC,TJ,Industry,23.66835219,26.74544113,29.74753051,30.74767393,26.495962,23.35297932,20.60001799,15.34917254,12.06761552
Highcost_DAC,TJ,Residential,2.114441897,3.139052821,4.170960146,4.993923148,5.142098793,5.219878712,5.418913517,4.687501919,4.882183452
Highcost_DAC,TJ,Transportation,3.905179589,4.486597933,4.961532143,5.306086747,5.216792655,4.930774189,4.561729619,3.190816412,2.984850401
Highcost_DAC,XJ,Agricultural,0.304137077,0.289609173,0.279572783,0.255848441,0.209160229,0.169080774,0.12862011,0.078546616,0.059616242
Highcost_DAC,XJ,Electricity generation,63.00616706,69.76077924,73.89209903,74.99133887,61.70034165,23.10705415,7.031250456,3.738972663,3.740874091
Highcost_DAC,XJ,Industry,35.74525984,38.53676808,41.05508833,40.17118123,32.35636167,27.69471426,23.18249582,16.23595333,13.11045857
Highcost_DAC,XJ,Residential,2.899965945,3.940497203,4.956393453,5.682328633,5.921414695,6.256748438,6.860956481,6.549902554,7.112076763
Highcost_DAC,XJ,Transportation,6.674061999,7.160268638,7.404171552,7.409282329,7.083608281,6.6962182,6.375476339,5.510063468,5.364063884
Highcost_DAC,XZ,Agricultural,0.0724365,0.06929191,0.06676719,0.06088605,0.05078538,0.04246259,0.03410034,0.023075377,0.018468611
